model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.01,0.12,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.03,0.24,6.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.05,0.36,5.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.07,0.32,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.09,0.26,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.1,0.28,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.5,0.46,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,1.0,0.4,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.3,6.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.26,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.28,5.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.54,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.3,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.38,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.3,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.38,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.52,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,,
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.3,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.01,0.32,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.03,0.38,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.05,0.36,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.07,0.36,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.09,0.36,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.1,0.4,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.5,0.38,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,1.0,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.01,0.3,6.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.03,0.26,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.05,0.28,5.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.07,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.09,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.1,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.5,0.54,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,1.0,0.3,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.34,6.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.46,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.34,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.4,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.6,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.3,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.01,0.34,4.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.03,0.5,4.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.05,0.42,5.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.07,0.34,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.09,0.42,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.1,0.32,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.5,0.4,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,1.0,0.22,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.36,10.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.44,8.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.42,6.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.4,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.42,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.42,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.48,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.32,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.32,6.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.38,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.4,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.28,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.3,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.48,5.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.12,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.32,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.01,0.54,8.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.03,0.44,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.05,0.56,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.07,0.56,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.09,0.52,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.1,0.56,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.5,0.24,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,1.0,0.3,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.01,0.36,10.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.03,0.44,8.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.05,0.42,6.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.07,0.4,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.09,0.42,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.1,0.42,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.5,0.48,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,1.0,0.32,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.36,10.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.4,6.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.38,2.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.38,8.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.28,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.38,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.1,1.0
OLMo-2-1124-13B-DPO,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.32,1.0
