model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.01,0.02,5.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.03,0.42,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.05,0.46,8.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.07,0.58,6.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.09,0.5,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.1,0.66,8.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.5,0.62,2.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,1.0,0.62,1.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.01,0.0,1.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.03,0.0,1.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.05,0.1,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.07,0.3,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.09,0.3,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.1,0.32,8.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,0.5,0.5,2.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,uniform,0.0,random-s0,1.0,0.62,1.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.02,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.2,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.44,5.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.14,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.38,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.56,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.7,2.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.62,1.0
