model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.01,0.18,10.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.03,0.36,8.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.05,0.1,2.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.07,0.18,2.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.09,0.12,2.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.1,0.04,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.5,0.0,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,1.0,0.0,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.28,6.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.26,2.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.22,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.24,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.22,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.26,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.02,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.0,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.38,10.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.48,10.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.34,2.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.26,2.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.24,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.24,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.0,1.0
Qwen1.5-14B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.0,1.0
